epoch,a_mAP,a_mAP_visible,a_mAP_unshown,class_0_mAP,class_1_mAP,class_2_mAP,class_3_mAP,class_4_mAP,class_5_mAP,class_6_mAP,class_7_mAP,class_8_mAP,class_9_mAP,class_10_mAP,class_11_mAP,class_12_mAP,class_13_mAP,class_14_mAP,class_15_mAP,class_16_mAP
6,0.07381652621115284,0.07631919038836411,0.08220533659057093,0.0,0.10390368720076341,0.0,0.02954545454545455,0.0,0.09090909090909094,0.0,0.11295797598192808,0.49160699219401416,0.2288421459556176,0.04693212001926527,0.07478277755631695,0.0,0.021681692962684695,0.05371900826446281,0.0,0.0
11,0.11158568652144572,0.11926352941318094,0.10804445840541524,0.0,0.09919389257449053,0.20189855224285422,0.01990789782740915,0.0,0.04329822511640693,0.020179063360881544,0.19008928187636726,0.48682036129097495,0.3160620505568122,0.19301053513088046,0.1216554926477777,0.030991735537190087,0.04477502295684114,0.09635576339053116,0.030303030303030293,0.0024157660521296883
16,0.13824981166420988,0.16086481826584528,0.13262155608980106,0.052066115702479335,0.15434031909433818,0.23877527184188946,0.045063338301043226,0.0,0.08374207714986073,0.028522308580959603,0.19327933039778455,0.5513500031628584,0.36186548050478695,0.22568380682485115,0.15388262956344234,0.0473328324567994,0.11610235681645553,0.061814502844168104,0.027189672497590394,0.009236752552260575
21,0.160981123016314,0.17355134996015925,0.1671522118612116,0.02527712186803096,0.14347829112696153,0.34011514126922654,0.11321161114734511,0.0,0.12261295350940901,0.03642485460667278,0.20680441787941461,0.5146501809837136,0.40322341110749543,0.2761283997882718,0.19340294371775482,0.07275555280396136,0.1625431212786072,0.11210480919873794,0.013946280991735534,0.0
26,0.17014347595974463,0.17660807633345454,0.17244879272117405,0.0,0.16234491021588163,0.26623426802509587,0.10984183736283401,0.0,0.1392488134699067,0.05045321980355094,0.2748097243790743,0.5221218423061079,0.40517434055565915,0.2668140179842772,0.2464407585413569,0.13438557454871095,0.2420298405812962,0.06413625859863237,0.008403684943274387,0.0
31,0.18622476679690106,0.19761086414902745,0.1770322889460669,0.10376357154432023,0.21473155384499873,0.34559809708744094,0.1119617698858459,0.009740259740259742,0.14939350512529453,0.05452237268799511,0.23178923834511994,0.5344051554276179,0.39202385580057003,0.31601390026785636,0.2183205268464834,0.08687295434889042,0.23712394966538045,0.10162806111462744,0.05793226381461677,0.0
36,0.22890388530277045,0.23854594930188142,0.2009976638496141,0.08723599632690544,0.24497820763596914,0.3876504333023384,0.21420634077476933,0.021546635182998822,0.1680930612627181,0.022570335464368322,0.32895246898440705,0.5725423047699522,0.4470188864501776,0.361874978869755,0.2417158413738305,0.1436681295637919,0.40036442013274254,0.15871412035324248,0.09023388969913035,0.0
41,0.2695004371258581,0.29451658612968606,0.22235806100564556,0.10989767807949626,0.22245613916301762,0.49024855247546073,0.26393703596227924,0.09090909090909094,0.21640333586950652,0.07349485025495667,0.3556352877747339,0.5857980475231882,0.493078156643164,0.3807230102474088,0.25093843039311153,0.2566219945954569,0.5537582776501299,0.1124009320283378,0.1252066115702479,0.0
46,0.26487411450436826,0.2996873663042436,0.23238972575144826,0.10691561762117766,0.2070796316928573,0.5347332245293467,0.23927127339902338,0.04545454545454547,0.2405415292637037,0.1407832050799011,0.3406061918079925,0.5803591956650819,0.49499357015498335,0.39049757120572043,0.2559848185169117,0.23277686366600664,0.5244405579534026,0.1071670270165495,0.0503460326379658,0.01090909090909091
51,0.2967060136977062,0.3314738721651379,0.23147239998502717,0.14135591046061982,0.2965085692007077,0.6025697999691249,0.28674503712046484,0.01820149547422275,0.23829001549409623,0.08221307790341684,0.3954900947257415,0.6106217366926032,0.5185164427954291,0.4231353231988416,0.26896975266116263,0.2943938889889092,0.6052326964957271,0.1944724130389483,0.029585443881631566,0.0377005347593583
56,0.30159978606532206,0.3239745405148923,0.2596374475631704,0.12255447032306536,0.3260294349485484,0.5734243138718815,0.30007173536120735,0.08736717827626919,0.23443205923842297,0.12913727677865783,0.3656064836336636,0.5783497757048572,0.4949910862925187,0.4216532715734269,0.31865185091257364,0.3133656001616072,0.5805429687199222,0.23346006298753091,0.043559860708621036,0.0039989336177019465
61,0.3140809302844282,0.33452718496884903,0.23999329483837484,0.1430642236791969,0.33029542017945307,0.5554883604722762,0.35016149404417846,0.024143212159741086,0.25856559356164305,0.12301423560886889,0.43187771109134865,0.6172465442794778,0.5179833361075471,0.4404290394787106,0.324809417585711,0.33709218741278624,0.630123768537223,0.22765828040420985,0.027422990232907583,0.0
66,0.31703852366452834,0.348551133163135,0.25955256927694464,0.10461135165477496,0.276866312871401,0.6155244880684804,0.3589332670538359,0.03133608815426998,0.24485864430542295,0.19471933309441,0.4372329854119382,0.6077693865514247,0.5127708767312157,0.4511645742273251,0.3423232538084029,0.34608914656410955,0.5884313994786827,0.22685853090768682,0.05016526341360045,0.0
71,0.33375776765263576,0.363850234765692,0.2549176537534717,0.1783842852981609,0.3148187271915275,0.6367512730492272,0.374818478971172,0.029243483788938325,0.2518558559240053,0.1732929588083938,0.40838347315656215,0.6235126253099058,0.5469194522964287,0.49491750049380234,0.31219713304672175,0.38542742384429646,0.650701127262802,0.20698233143265163,0.08535805626598465,0.0003178639542275906
